ID,Price
0,21151.156
1,38343.945
2,25572.932
3,7105.6123
4,30870.568
5,14953.625
6,21347.822
7,29433.494
8,43156.07
9,14912.497
10,18127.668
11,15901.693
12,37795.74
13,18576.41
14,38603.9
15,5715.3237
16,26216.137
17,32857.457
18,16390.928
19,25164.55
20,10663.497
21,21337.713
22,19336.191
23,16654.518
24,32402.434
25,14719.828
26,25010.416
27,31522.488
28,22696.828
29,27157.934
30,18664.87
31,37359.67
32,13713.635
33,23092.328
34,19863.773
35,19593.24
36,22851.113
37,42611.023
38,47959.61
39,36328.027
40,15875.489
41,15437.014
42,25161.387
43,38561.41
44,48446.57
45,14168.935
46,22897.889
47,19694.918
48,17173.135
49,15759.547
50,13424.334
51,19190.52
52,17455.773
53,13486.971
54,26123.082
55,16270.314
56,7692.9736
57,14997.361
58,18075.451
59,18849.541
60,9713.823
61,16761.0
62,21386.742
63,18694.438
64,6232.521
65,16967.238
66,17876.396
67,9525.322
68,17358.643
69,13982.4
70,17071.455
71,31873.568
72,27909.307
73,49630.957
74,14463.826
75,5836.6724
76,8097.6733
77,11205.285
78,9759.004
79,12176.882
80,31867.832
81,12790.188
82,20046.324
83,14645.117
84,13976.064
85,13962.386
86,32792.137
87,13615.08
88,8474.803
89,31689.072
90,30994.615
91,30603.76
92,10239.232
93,29954.137
94,21137.055
95,20898.104
96,12726.356
97,8765.827
98,29872.338
99,24555.617
100,23197.984
101,6582.19
102,33394.766
103,20423.012
104,18470.943
105,33506.71
106,22039.84
107,32530.719
108,49531.773
109,21047.38
110,13544.297
111,7358.733
112,20523.105
113,8243.106
114,14818.01
115,10749.679
116,17588.305
117,10562.498
118,6009.4893
119,13211.352
120,8954.357
121,34987.91
122,12149.224
123,16309.122
124,8421.79
125,16078.159
126,26792.668
127,14832.097
128,25951.57
129,16566.746
130,20545.129
131,24549.822
132,30689.297
133,13129.002
134,14332.097
135,34388.59
136,14476.362
137,30799.318
138,10677.603
139,33506.96
140,14986.823
141,57332.727
142,33704.35
143,46812.61
144,11073.779
145,28352.547
146,27637.922
147,13525.013
148,31871.863
149,23923.45
150,21822.562
151,20592.066
152,16888.016
153,9795.048
154,16975.504
155,30189.906
156,30888.9
157,43188.918
158,9505.841
159,20169.79
160,14157.443
161,15751.174
162,16803.084
163,8060.8076
164,17079.838
165,15115.797
166,14884.75
167,18942.11
168,27755.15
169,16258.966
170,32673.629
171,21834.785
172,11596.773
173,27950.59
174,8531.561
175,20624.367
176,22163.875
177,20588.355
178,14012.322
179,35671.07
180,6318.488
181,14464.0625
182,11115.595
183,15205.611
184,16660.705
185,18404.049
186,15179.158
187,24397.459
188,11558.076
189,18127.78
190,31159.293
191,11748.974
192,12173.986
193,14686.169
194,37790.492
195,9946.374
196,17822.209
197,12774.304
198,12710.169
199,19566.129
200,11579.483
201,21690.332
202,14151.857
203,23687.037
204,26852.793
205,16017.205
206,21792.068
207,15725.661
208,14094.898
209,14451.523
210,13113.904
211,17286.15
212,40746.633
213,39094.06
214,14674.784
215,21708.9
216,10566.835
217,25876.262
218,16195.807
219,43402.73
220,25453.504
221,20509.97
222,12372.912
223,17301.58
224,9170.803
225,12385.264
226,22740.121
227,10711.811
228,46854.055
229,29898.402
230,7417.471
231,14006.06
232,16831.027
233,18705.04
234,20158.715
235,23361.14
236,15969.479
237,22271.533
238,27564.926
239,22468.621
240,19671.285
241,26451.537
242,34994.66
243,12386.23
244,14976.678
245,12802.834
246,18839.988
247,27773.838
248,13426.05
249,30109.385
250,24557.666
251,10929.252
252,8724.574
253,15361.775
254,14077.078
255,16536.066
256,17616.12
